loc,lloc,scloc,comments,single_comments,blanks,calculated_length,volume,difficulty,effort,time,bugs,Target
0.065287744,0.102125886,0.091178651,0.034364261,0.064393939,0.034663179,0.061153002,0.04294396,0.195178848,0.014133579,0.014133579,0.04294396,1
0.019136063,0.034180909,0.022485792,0.003436426,0.003787879,0.020274689,0.000832127,0.000574633,0.018537534,3.48E-05,3.48E-05,0.000574633,1
0.06585057,0.10712797,0.071163825,0.175257732,0.193181818,0.038587312,0.053944609,0.038523457,0.256503058,0.016320196,0.016320196,0.038523457,1
0.177571408,0.299708212,0.217692118,0.268041237,0.299242424,0.10529758,0.197775284,0.149001257,0.240469415,0.059367365,0.059367365,0.149001257,1
0.023779372,0.046686119,0.03063998,0.054982818,0.068181818,0.012426422,0.019711195,0.013487841,0.148300276,0.003476395,0.003476395,0.013487841,1
0.068946109,0.100875365,0.073387695,0.158075601,0.170454545,0.041203401,0.053643983,0.037886515,0.164274108,0.010667844,0.010667844,0.037886515,1
0.020261714,0.032513547,0.028169014,0.048109966,0.053030303,0.007194245,0.015153824,0.00961908,0.159064005,0.002644304,0.002644304,0.00961908,1
0.007598143,0.010421009,0.008648382,0,0.003787879,0.006540222,0.000166425,9.84E-05,0,2.80E-06,2.80E-06,9.84E-05,1
0.032784579,0.056273447,0.046454164,0.04467354,0.049242424,0.016350556,0.022199901,0.013971722,0.111225207,0.002799958,0.002799958,0.013971722,1
0.018291825,0.03626511,0.026192241,0.020618557,0.022727273,0.011118378,0.006447895,0.00431954,0.059974376,0.000528051,0.000528051,0.00431954,1
0.023357253,0.057940809,0.03212256,0.017182131,0.007575758,0.018312623,0.035338221,0.029061472,0.229580234,0.011112582,0.011112582,0.029061472,1
0.011960039,0.006669446,0.020509019,0.003436426,0.003787879,0.002616089,0.002030921,0.001707643,0.060909042,0.000215293,0.000215293,0.001707643,1
0.01618123,0.027094623,0.022732889,0.013745704,0.015151515,0.005232178,0.008351406,0.00597013,0.145373297,0.001520643,0.001520643,0.00597013,1
0.010975095,0.017507295,0.012107734,0.058419244,0.064393939,0.009810334,0.006641503,0.004162721,0.037075069,0.000360033,0.000360033,0.004162721,1
0.015618404,0.027928303,0.01606128,0.041237113,0.045454545,0.0117724,0.000665702,0.000425994,0,1.21E-05,1.21E-05,0.000425994,1
0.005206135,0.007503126,0.007165802,0.013745704,0,0.003924133,0.000166425,9.84E-05,0,2.80E-06,2.80E-06,9.84E-05,1
0.026734206,0.049604002,0.033110946,0.06185567,0.056818182,0.014388489,0.013540086,0.009157722,0.103810193,0.001734205,0.001734205,0.009157722,1
0.04544815,0.08295123,0.053867062,0.085910653,0.109848485,0.023544801,0.056706226,0.049609757,0.240609631,0.019794603,0.019794603,0.049609757,1
0.034895174,0.068361817,0.043983197,0.048109966,0.041666667,0.018312623,0.018413241,0.011366687,0.152809406,0.003011548,0.003011548,0.011366687,1
0.007598143,0.012505211,0.010130961,0.010309278,0.022727273,0.003924133,0.007072804,0.006550314,0.158114264,0.001796596,0.001796596,0.006550314,1
0.026734206,0.050854523,0.026439338,0.048109966,0.102272727,0.014388489,0.005726097,0.003786254,0.108576988,0.000751966,0.000751966,0.003786254,1
0.040664134,0.077115465,0.036570299,0.051546392,0.162878788,0.028776978,0.008966043,0.006549406,0.113873426,0.00134596,0.00134596,0.006549406,1
0.020261714,0.046269279,0.021991599,0.030927835,0.117424242,0.015042511,0.016767623,0.010971471,0.167928253,0.003164138,0.003164138,0.010971471,1
0.090614887,0.160900375,0.07734124,0.151202749,0.321969697,0.06147809,0.020842906,0.014638341,0.136824659,0.003511981,0.003511981,0.014638341,1
0.04390038,0.088786995,0.046207067,0.048109966,0.140151515,0.03793329,0.055525198,0.040283381,0.377473092,0.024570792,0.024570792,0.040283381,1
0.018151119,0.038766153,0.020014826,0.027491409,0.068181818,0.015042511,0.007417447,0.005821706,0.164656924,0.001657973,0.001657973,0.005821706,1
0.081046855,0.128386828,0.081788979,0.357388316,0.40530303,0.045781557,0.066265257,0.04685477,0.297791035,0.022822756,0.022822756,0.04685477,1
