loc,lloc,scloc,comments,single_comments,blanks,calculated_length,volume,difficulty,effort,time,bugs,LargeClass
469,247,371,10,17,53,734.8994785,1204.806249,5.764423077,6945.012945,385.8340525,0.401602083,1
141,84,93,1,1,31,10,18.09473751,1,18.09473751,1.005263195,0.006031579,1
473,259,290,51,51,59,648.2734163,1080.993528,7.418478261,8019.32699,445.5181661,0.360331176,1
1267,721,883,78,79,161,2376.742752,4175.337608,6.986013986,29168.96693,1620.498163,1.391779203,1
174,114,126,16,18,19,236.8771238,379.77745,4.5,1708.998525,94.94436251,0.126592483,1
495,244,299,46,45,63,644.6606771,1063.153584,4.930851064,5242.25198,291.2362211,0.354384528,1
149,80,116,14,14,11,182.1094106,271.4183328,4.790322581,1300.181369,72.23229826,0.090472778,1
59,27,37,0,1,10,2,4.754887502,0.5,2.377443751,0.132080208,0.001584963,1
238,137,190,13,13,25,266.7848738,393.3303406,3.5,1376.656192,76.48089955,0.131110114,1
135,89,108,6,6,17,77.4868683,122.9848878,2.117647059,260.438586,14.46881033,0.040994963,1
171,141,132,5,2,28,424.6731888,815.9752485,6.692307692,5460.757432,303.3754129,0.271991749,1
90,18,85,1,1,4,24.40637196,49.82892142,2.142857143,106.7762602,5.932014455,0.01660964,1
120,67,94,4,4,8,100.3621072,169.2158299,4.421052632,748.1120899,41.56178277,0.056405277,1
83,44,51,17,17,15,79.81353753,118.5925704,1.5,177.8888556,9.882714201,0.039530857,1
116,69,67,12,12,18,8,13.93156857,0.5,6.965784285,0.386988016,0.004643856,1
42,20,31,4,0,6,2,4.754887502,0.5,2.377443751,0.132080208,0.001584963,1
195,121,136,18,15,22,162.7164929,258.4962501,3.3,853.0376252,47.39097918,0.086165417,1
328,201,220,25,29,36,681.4608457,1391.506825,6.989795918,9726.348729,540.3527072,0.463835608,1
253,166,180,14,11,28,221.2790995,320.3665935,4.621621622,1480.613175,82.25628751,0.106788864,1
59,32,43,3,6,6,84.99664331,185.4660402,4.764705882,883.6911327,49.09395182,0.061822013,1
195,124,109,14,27,22,68.81274391,108.0482024,3.428571429,370.4509796,20.58060998,0.036016067,1
294,187,150,15,43,44,107.7484409,185.4406126,3.571428571,662.2879021,36.79377234,0.061813538,1
149,113,91,9,31,23,201.5030616,309.297091,5.029411765,1555.582428,86.42124602,0.10309903,1
649,388,315,44,85,94,250.4773318,412.0015019,4.19047619,1726.482484,95.91569355,0.137333834,1
317,215,189,14,37,58,667.2679623,1130.286782,10.68131868,12072.95332,670.719629,0.376762261,1
134,95,83,8,18,23,89.13835276,165.05865,4.941176471,815.5839178,45.31021765,0.05501955,1
581,310,333,104,107,70,796.3354503,1314.343103,8.532110092,11214.12005,623.0066695,0.438114368,1
305,190,174,14,15,51,308.3400633,470.6114439,5.204081633,2449.100372,136.0611318,0.156870481,1
246,99,96,77,79,60,13.60964047,19.65148445,1,19.65148445,1.091749136,0.006550495,1
654,344,442,92,93,41,1819.118204,3426.350909,6.293859649,21564.97173,1198.053985,1.14211697,1
59,45,43,8,10,6,54.62919048,73.57433114,2.5,183.9358279,10.2186571,0.024524777,1
279,95,235,17,16,14,84.99664331,171.8953543,4.411764706,758.3618573,42.1312143,0.057298451,1
149,102,107,19,16,21,276.575451,423.8661136,3.127659574,1325.708909,73.65049492,0.141288705,1
85,47,54,5,5,14,117.7589801,170.0293348,3.659090909,622.1527934,34.56404408,0.056676445,1
293,195,246,8,6,27,521.9986791,1017.985072,5.265822785,5360.528989,297.807166,0.339328357,1
47,36,35,1,1,2,28.7548875,38.05374781,1.5,57.08062171,3.17114565,0.012684583,1
279,95,235,17,16,14,84.99664331,171.8953543,4.411764706,758.3618573,42.1312143,0.057298451,1
64,45,47,4,4,7,56.10571634,77.66179398,2,155.323588,8.62908822,0.025887265,1
1817,1091,1318,182,211,104,607.7190873,1016.386578,3.32967033,3384.232231,188.0129017,0.338795526,1
368,111,277,13,13,26,471.5086773,923.0015019,4.602739726,4248.33568,236.0186489,0.307667167,1
222,107,106,1,1,36,137.7212077,215,3.230769231,694.6153846,38.58974359,0.071666667,1
290,166,204,58,58,28,688.385619,1276.673738,4.88,6230.167841,346.1204356,0.425557913,1
361,226,223,41,50,35,656.2474858,1089.923114,7.198924731,7846.274458,435.9041365,0.363307705,1
275,176,184,33,37,35,365.6940118,582.3445623,5.438596491,3167.137093,175.9520607,0.194114854,1
143,114,89,2,24,26,363.2656234,673.3359001,7.267857143,4893.709131,271.8727295,0.2244453,1
110,8,80,12,10,13,15.509775,33.68825906,0.666666667,22.45883938,1.247713299,0.01122942,1
308,99,252,29,29,27,66,100.0782,1,100.0782,5.559900002,0.0333594,1
37,33,33,0,0,4,2,4.754887502,0.5,2.377443751,0.132080208,0.001584963,1
1085,230,983,29,19,83,434.9573008,656.0323889,4.567164179,2996.207627,166.4559793,0.218677463,1
481,238,363,40,29,62,790.3317072,1333.029885,3.96460177,5284.932641,293.607369,0.444343295,1
509,180,340,12,12,42,43.01955001,66.60791493,0.5,33.30395746,1.850219859,0.022202638,1
219,186,184,8,8,27,10,20.67970001,1.25,25.84962501,1.436090278,0.006893233,1
305,237,218,37,48,39,59.71535681,95.90827503,2.692307692,258.2145866,14.34525481,0.031969425,1
819,575,540,150,156,123,276.3489345,531.8850936,8.093023256,4304.558432,239.1421351,0.177295031,1
345,210,259,8,6,48,55.30296891,84,1,84,4.666666667,0.028,1
197,113,108,0,0,22,2,4.754887502,0.5,2.377443751,0.132080208,0.001584963,1
415,83,322,5,5,20,59.71535681,100.0782,3.076923077,307.9329232,17.10738462,0.0333594,1
219,181,192,1,1,26,28.7548875,44.97261104,1.5,67.45891656,3.747717587,0.01499087,1
1256,615,988,124,73,184,136.6059378,279.6927639,1.357142857,379.5830368,21.08794649,0.093230921,1
470,209,311,54,54,60,4,10,1.5,15,0.833333333,0.003333333,1
502,325,337,56,56,51,35.21928095,53.77443751,1,53.77443751,2.987468751,0.017924813,1
191,220,149,3,3,39,2,6.339850003,0.5,3.169925001,0.176106945,0.002113283,1
536,395,401,42,37,89,1318.199818,2846.862192,10.85294118,30896.82791,1716.490439,0.948954064,1
681,367,370,64,49,110,1291.681976,2207.291624,8.577844311,18933.8039,1051.877995,0.735763875,1
