lloc,scloc,calculated_length,volume,difficulty,effort,time,bugs,long_method
131,136,199.17639,334.3236802,4.1,1370.727089,76.15150494,0.111441227,1
64,67,163.1352628,296.9388418,6.107142857,1813.447927,100.7471071,0.098979614,1
49,47,148.033447,289.985382,4.796296296,1390.855813,77.26976741,0.096661794,1
23,45,4.754887502,12,0.666666667,8,0.444444444,0.004,1
128,119,533.44585,1086.801705,10.75657895,11690.26834,649.4593522,0.362267235,1
59,59,35.21928095,86.03910002,1.6,137.66256,7.647920002,0.0286797,1
57,59,26,39.86313714,1,39.86313714,2.21461873,0.013287712,1
41,47,8,13.93156857,0.5,6.965784285,0.386988016,0.004643856,1
83,108,142.6059378,390,3.714285714,1448.571429,80.47619048,0.13,1
74,74,109.7171361,299.5579126,4.659090909,1395.667548,77.53708597,0.099852638,1
53,43,93.4868683,236.8366657,7.529411765,1783.240777,99.06893205,0.078945555,1
56,56,24.40637196,59.79470571,2.142857143,128.1315122,7.118417346,0.019931569,1
43,57,64,171.6734393,0.875,150.2142594,8.345236634,0.05722448,1
29,57,124.0964047,306.0528027,3.36,1028.337417,57.1298565,0.102017601,1
49,52,19.65148445,36,0.571428571,20.57142857,1.142857143,0.012,1
50,45,36.52932501,92.51099295,3.555555556,328.9279749,18.27377639,0.030836998,1
30,58,30.52932501,83.02635885,1.666666667,138.3772647,7.687625819,0.027675453,1
88,110,71.4868683,178.4129556,1.647058824,293.8566327,16.32536848,0.059470985,1
132,141,68.7548875,331.338346,4.875,1615.274437,89.73746872,0.110446115,1
40,43,111.8901503,153.8353575,3.5,538.4237513,29.91243063,0.051278453,1
45,47,79.509775,142.7018118,3.9375,561.8883839,31.21602133,0.047567271,1
93,92,169.4107739,288.6360132,5.431034483,1567.592141,87.08845227,0.096212004,1
48,57,448.241686,1218.345865,4.577464789,5576.935298,309.8297388,0.406115288,1
51,53,101.9483369,159.8149504,3.3,527.3893364,29.29940758,0.05327165,1
63,56,127.7060452,215.9031862,2.9,626.11924,34.78440222,0.071967729,1
